# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_model
# start_datetime = 2024-11-23 21:52:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_848.json
# init = 2 (Default)
# random
#   seed = 1647100004 (Default)
# output
#   file = output/output_848.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.228065
# Diagonal elements of inverse mass matrix:
# 532309, 0.00109486, 0.005722, 0.217074, 0.00819021, 0.859266, 0.352927, 0.0207717
-8195.63,0.950813,0.228065,4,15,0,8197.31,45581.8,6885.63,0.436497,0.962437,0.672347,0.969133,0.965482,0.644427
-8192.77,0.956123,0.228065,4,15,0,8202.37,45681,7526.17,0.408241,0.911139,0.66033,0.907883,0.927423,0.663209
-8194.98,0.699406,0.228065,4,15,0,8200.5,45392.3,7112.43,0.424194,0.936368,0.680161,0.994681,0.974085,0.615155
-8195.1,0.981778,0.228065,4,15,0,8198.4,44476.7,7306.98,0.445284,0.941205,0.685935,0.992279,0.957767,0.665138
-8193.28,0.974924,0.228065,4,15,0,8199.41,45053.3,7524.52,0.398265,0.942562,0.645426,0.974527,0.942893,0.625503
-8191.65,0.980147,0.228065,3,15,0,8195.98,45845.1,7380.05,0.402729,0.955056,0.660642,0.942701,0.92378,0.616178
-8192.18,0.903156,0.228065,4,15,0,8195.19,45031.7,7370.55,0.40748,0.941508,0.666362,0.974595,0.927773,0.62925
-8190.18,0.995546,0.228065,3,15,0,8194.61,46011.7,7357.58,0.425009,0.91491,0.650716,0.937604,0.963582,0.654974
-8189.3,0.993155,0.228065,4,31,0,8193.02,47518.7,7054.22,0.388133,0.878411,0.646504,0.886125,0.895174,0.651083
-8194.94,0.831212,0.228065,4,15,0,8196.89,46073.4,7036.22,0.364076,0.899743,0.677151,0.952995,0.905396,0.648718
-8194.56,0.918308,0.228065,3,7,0,8199.34,46148.7,7153.26,0.37443,0.930866,0.677183,0.890298,0.913598,0.630757
-8191.11,1,0.228065,4,15,0,8196.4,46146.4,7460.78,0.4081,0.881199,0.657829,0.943628,0.935035,0.682914
-8193.01,0.975628,0.228065,4,15,0,8195.58,45774.8,7336.26,0.383048,0.95423,0.681408,0.934683,0.934532,0.65121
-8194.25,0.977479,0.228065,4,15,0,8198.7,45465.5,6728.72,0.402592,0.930633,0.668683,0.962061,0.943875,0.643612
