# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_baseline_model
# start_datetime = 2024-11-24 05:21:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_537.json
# init = 2 (Default)
# random
#   seed = 1674040511 (Default)
# output
#   file = output_model_baseline/output_537.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.296444
# Diagonal elements of inverse mass matrix:
# 0.000728203, 2.58335, 0.75061, 1.52753, 0.329854, 0.0146589, 2.87386
-5982.59,0.956425,0.296444,3,7,0,5984.58,1253.73,0.973311,0.967589,0.995154,0.935028,0.868437,0.118717
-5986.1,0.878321,0.296444,4,15,0,5989.22,1267.97,0.987467,0.983905,0.977252,0.992016,0.808065,0.997772
-5980.7,0.985673,0.296444,4,15,0,5988.5,1273.5,0.977027,0.972818,0.991619,0.950622,0.861608,0.952793
-5980.23,0.987248,0.296444,3,15,0,5983.87,1236.52,0.990423,0.993016,0.995771,0.967837,0.813432,0.424018
-5978.33,0.986584,0.296444,3,15,0,5982.15,1211.4,0.977404,0.974715,0.983448,0.955797,0.820441,0.485885
-5980.22,0.839309,0.296444,4,15,0,5983.03,1248.14,0.987235,0.957655,0.973088,0.960559,0.80375,0.368009
-5980.42,0.877125,0.296444,4,15,0,5984.25,1293.52,0.975977,0.983798,0.969228,0.939443,0.856396,0.758879
-5983.75,0.592705,0.296444,3,7,0,5988.24,1248.9,0.990351,0.99104,0.999377,0.973667,0.818224,0.0305068
-5982.79,0.90074,0.296444,4,15,0,5988.22,1269.04,0.971811,0.958214,0.975011,0.984293,0.862509,0.956523
-5983.93,0.903669,0.296444,3,7,0,5987.75,1246.4,0.989886,0.973091,0.980554,0.990019,0.867877,0.984232
-5980.49,0.9952,0.296444,4,15,0,5985.75,1258.55,0.990517,0.978818,0.986137,0.961578,0.801736,0.0930509
-5982.6,0.94505,0.296444,4,15,0,5986.99,1330.73,0.978668,0.963017,0.983462,0.985756,0.827731,0.113185
-5981.87,0.777686,0.296444,3,7,0,5987.94,1276.35,0.999022,0.986478,0.979984,0.930683,0.846947,0.521134
-5980.6,1,0.296444,2,3,0,5981.93,1276.97,0.998998,0.985154,0.978702,0.941802,0.84584,0.552887
-5979.3,0.903464,0.296444,4,15,0,5982.62,1242.39,0.99717,0.965513,0.982618,0.980772,0.83837,0.439377
-5980.05,0.919382,0.296444,3,15,0,5983.78,1192.71,0.987714,0.968603,0.990633,0.975731,0.821653,0.595221
-5977.41,0.976501,0.296444,3,7,0,5984.01,1233.1,0.98082,0.984886,0.978956,0.956086,0.827308,0.415527
-5979.43,0.901036,0.296444,3,7,0,5980.29,1243.85,0.998934,0.973495,0.989047,0.967855,0.84648,0.523759
-5981.23,0.875945,0.296444,2,7,0,5983.05,1264.24,0.999303,0.952008,0.981794,0.970349,0.833154,0.381122
-5981.86,0.993138,0.296444,3,7,0,5984.42,1280.32,0.998473,0.979305,0.979559,0.926748,0.844806,0.294123
-5980.1,1,0.296444,3,7,0,5983.91,1275.36,0.998483,0.991425,0.984952,0.967167,0.836084,0.751173
-5980.2,0.939514,0.296444,3,7,0,5983.68,1298.69,0.979554,0.966384,0.97695,0.967708,0.826202,0.953967
-5983.06,0.766414,0.296444,3,7,0,5984.78,1309.51,0.99634,0.967083,0.963546,0.960321,0.831157,0.979641
-5980.27,0.978729,0.296444,3,7,0,5984.91,1302.95,0.994704,0.974427,0.991197,0.969456,0.83312,0.900095
-5977.48,0.987782,0.296444,3,7,0,5982.04,1262.96,0.97864,0.982862,0.976604,0.95098,0.845121,0.448608
-5979.01,0.859085,0.296444,3,7,0,5980.81,1239.25,0.996618,0.959296,0.989881,0.957563,0.83176,0.383403
-5979.62,0.834121,0.296444,4,15,0,5982.96,1284.91,0.991449,0.991918,0.990463,0.945095,0.825013,0.344752
-5980.38,0.994445,0.296444,3,15,0,5981.85,1306.25,0.974966,0.985932,0.965484,0.972403,0.81914,0.665077
-5979.89,0.732583,0.296444,4,15,0,5985.32,1246.17,0.995178,0.951725,0.986868,0.974622,0.82655,0.325688
-5978.49,1,0.296444,3,7,0,5981.3,1247.18,0.992935,0.985936,0.976216,0.94822,0.833264,0.175323
-5979.51,0.962512,0.296444,3,7,0,5982.21,1225.67,0.989334,0.966834,0.97011,0.943551,0.845169,0.149472
-5980.14,0.946699,0.296444,4,15,0,5982.98,1207.12,0.997196,0.975629,0.984481,0.962099,0.822268,0.13297
-5980.57,0.986099,0.296444,3,7,0,5981.96,1211.05,0.994106,0.982363,0.989236,0.944016,0.818943,0.120881
-5979.18,0.96815,0.296444,3,7,0,5982.94,1237.8,0.971976,0.977367,0.996836,0.972691,0.845847,0.316587
-5980.39,0.90383,0.296444,3,15,0,5982.27,1218.83,0.992229,0.969493,0.995435,0.981855,0.853046,0.323338
-5978.83,0.994318,0.296444,4,15,0,5981.33,1289.56,0.991269,0.983615,0.988661,0.961855,0.819455,0.73233
-5977.33,0.996613,0.296444,4,15,0,5979.72,1262.54,0.986302,0.97072,0.974637,0.96171,0.835177,0.736587
-5982.06,0.429041,0.296444,3,7,0,5986.6,1273.91,0.994196,0.987786,0.999388,0.94975,0.828054,0.852646
-5980.61,0.988387,0.296444,3,7,0,5983.19,1247.9,0.971053,0.980094,0.998564,0.978128,0.824416,0.263895
-5978.22,0.967733,0.296444,4,15,0,5982.75,1243.45,0.986048,0.980416,0.987649,0.961809,0.853689,0.864259
-5979.09,0.913124,0.296444,4,15,0,5983.89,1261.27,0.987635,0.973831,0.990712,0.97342,0.857887,0.856087
-5982.88,0.594847,0.296444,4,15,0,5986.2,1241.99,0.997646,0.949755,0.996491,0.957999,0.851207,0.919175
-5982.77,0.878859,0.296444,3,15,0,5988.07,1264.71,0.997378,0.988784,0.996214,0.983426,0.839894,0.0463894
-5979.88,0.998944,0.296444,3,7,0,5984.19,1231.9,0.965381,0.989138,0.993763,0.969396,0.834196,0.170355
-5979.53,0.997218,0.296444,4,15,0,5981.25,1265.71,0.996384,0.960623,0.973568,0.9533,0.822727,0.747292
-5979.53,0.961253,0.296444,3,15,0,5981.57,1217.02,0.964999,0.986573,0.991026,0.962985,0.842925,0.773236
-5981.77,0.185237,0.296444,4,15,0,5985.09,1225.37,0.999097,0.955722,0.991517,0.977873,0.829896,0.609257
-5980.47,0.939756,0.296444,3,7,0,5984.93,1226.57,0.981657,0.985338,0.997435,0.962825,0.810496,0.757726
-5979.17,0.97457,0.296444,3,7,0,5981.92,1266.74,0.995976,0.967766,0.99321,0.968786,0.849247,0.291187
