# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model_modified_model
# start_datetime = 2024-11-24 17:44:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = input/gene_52.json
# init = 2 (Default)
# random
#   seed = 1718611180 (Default)
# output
#   file = output_model_modified/output_52.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,X,sigma,b.1,b.2,b.3,b.4,b.5,p_functional
# Adaptation terminated
# Step size = 0.271339
# Diagonal elements of inverse mass matrix:
# 254.086, 0.000683407, 3.18353, 0.652965, 0.00422662, 2.84361, 0.00523236, 0.0303521
-5384.86,0.466549,0.271339,4,15,0,5390.53,1299.56,216.751,0.997864,0.965616,0.375242,0.999704,0.510855,0.852797
-5384.29,0.990822,0.271339,4,15,0,5387.76,1290.02,210.967,0.999134,0.984699,0.384952,0.999364,0.531415,0.78382
-5387.37,0.885105,0.271339,3,7,0,5390.2,1274.92,206.887,0.993006,0.953168,0.394441,0.998463,0.527125,0.774659
-5383.49,1,0.271339,3,7,0,5388.47,1310.22,211.838,0.994876,0.984254,0.369075,0.993669,0.533445,0.793377
-5381.54,0.989298,0.271339,4,15,0,5385.18,1310.28,204.991,0.982329,0.923973,0.354974,0.984498,0.51541,0.809855
-5381.8,0.884179,0.271339,4,15,0,5384.64,1293.72,210.973,0.996971,0.991966,0.381181,0.98483,0.540594,0.825881
-5381.44,0.986214,0.271339,4,15,0,5383.25,1295.03,208.086,0.985578,0.978164,0.363044,0.990006,0.536244,0.799358
-5381.81,0.969754,0.271339,4,15,0,5385.21,1292.81,210.04,0.992058,0.967748,0.367842,0.995567,0.515284,0.795845
-5382.56,0.973436,0.271339,4,15,0,5385.97,1294.37,209.265,0.999768,0.979677,0.381177,0.975711,0.550754,0.816906
-5382.56,0.868346,0.271339,4,15,0,5387.49,1323.79,208.599,0.9984,0.926015,0.362806,0.987792,0.50722,0.827015
-5380.54,0.428571,0.271339,3,7,0,5387.63,1325.86,208.191,0.996287,0.925106,0.368585,0.957566,0.504937,0.832315
-5380.11,0.707384,0.271339,2,7,0,5384.25,1317.54,208.795,0.996395,0.949915,0.368076,0.95686,0.508408,0.8358
-5380.57,0.680131,0.271339,3,15,0,5384.88,1312.29,205.415,0.994207,0.969913,0.355234,0.97142,0.52476,0.830204
