geneID	enhancerID	beta
1	1	0.88
1	2	0.59
1	3	0.39
1	4	0.7
1	5	0.32
2	6	1
2	7	0.38
2	8	1
2	9	0.77
2	10	0.56
3	11	0.77
3	12	0.62
3	13	1
3	14	1
3	15	1
4	16	1
4	17	0.66
4	18	0.85
4	19	1
4	20	1
5	21	0.84
5	22	0.43
5	23	0.83
5	24	1
5	25	0.78
6	26	0.65
6	27	0.5
6	28	0.65
6	29	1
6	30	0.4
7	31	0.37
7	32	0.74
7	33	0.59
7	34	0.76
7	35	1
8	36	1
8	37	1
8	38	0.82
8	39	0.94
8	40	1
9	41	1
9	42	1
9	43	0.42
9	44	1
9	45	0.65
10	46	1
10	47	1
10	48	0.77
10	49	0.57
10	50	0.43
11	51	1
11	52	1
11	53	1
11	54	0.73
11	55	0.54
12	56	0.94
12	57	0.83
12	58	0.8
12	59	0.75
12	60	1
13	61	1
13	62	0.81
13	63	1
13	64	0.7
13	65	1
14	66	1
14	67	0.66
14	68	1
14	69	1
14	70	1
15	71	1
15	72	1
15	73	1
15	74	1
15	75	0.66
16	76	0.57
16	77	0.7
16	78	0.65
16	79	1
16	80	0.66
17	81	0.88
17	82	0.81
17	83	1
17	84	1
17	85	1
18	86	0.66
18	87	1
18	88	1
18	89	1
18	90	1
19	91	1
19	92	0.71
19	93	0.69
19	94	1
19	95	0.61
20	96	1
20	97	1
20	98	1
20	99	1
20	100	0.59
21	101	1
21	102	0.39
21	103	1
21	104	0.62
21	105	0.63
22	106	0.63
22	107	1
22	108	1
22	109	0.68
22	110	1
23	111	1
23	112	1
23	113	0.7
23	114	1
23	115	0.76
24	116	0.54
24	117	1
24	118	0.61
24	119	1
24	120	0.69
25	121	1
25	122	0.83
25	123	0.75
25	124	1
25	125	0.71
26	126	1
26	127	0.59
26	128	0.85
26	129	0.59
26	130	1
27	131	1
27	132	1
27	133	1
27	134	0.54
27	135	0.48
28	136	1
28	137	0.58
28	138	1
28	139	1
28	140	0.6
29	141	1
29	142	0.66
29	143	1
29	144	1
29	145	1
30	146	1
30	147	0.49
30	148	1
30	149	0.35
30	150	0.47
31	151	1
31	152	0.76
31	153	0.69
31	154	0.6
31	155	0.73
32	156	1
32	157	0.87
32	158	1
32	159	1
32	160	1
33	161	1
33	162	1
33	163	0.62
33	164	0.5
33	165	0.65
34	166	0.77
34	167	1
34	168	1
34	169	0.6
34	170	0.53
35	171	0.72
35	172	0.64
35	173	1
35	174	0.85
35	175	1
36	176	0.7
36	177	0.91
36	178	0.68
36	179	0.8
36	180	1
37	181	0.85
37	182	1
37	183	0.69
37	184	1
37	185	1
38	186	0.81
38	187	1
38	188	0.64
38	189	1
38	190	1
39	191	1
39	192	1
39	193	0.25
39	194	0.78
39	195	1
40	196	1
40	197	0.85
40	198	1
40	199	0.67
40	200	1
41	201	1
41	202	0.59
41	203	0.69
41	204	1
41	205	1
42	206	1
42	207	0.71
42	208	0.69
42	209	1
42	210	0.43
43	211	0.74
43	212	0.67
43	213	0.78
43	214	1
43	215	0.86
44	216	0.94
44	217	1
44	218	1
44	219	1
44	220	0.55
45	221	0.66
45	222	0.45
45	223	0.62
45	224	1
45	225	1
46	226	1
46	227	1
46	228	0.58
46	229	1
46	230	0.72
47	231	0.5
47	232	1
47	233	1
47	234	1
47	235	1
48	236	0.79
48	237	0.58
48	238	1
48	239	1
48	240	1
49	241	1
49	242	0.64
49	243	0.81
49	244	0.76
49	245	1
50	246	1
50	247	1
50	248	0.6
50	249	1
50	250	1
51	251	1
51	252	1
51	253	0.73
51	254	1
51	255	1
52	256	1
52	257	0.88
52	258	0.37
52	259	1
52	260	0.5
53	261	1
53	262	1
53	263	1
53	264	1
53	265	1
54	266	1
54	267	0.92
54	268	1
54	269	1
54	270	0.77
55	271	1
55	272	1
55	273	0.73
55	274	1
55	275	0.84
56	276	1
56	277	1
56	278	0.76
56	279	1
56	280	0.86
57	281	1
57	282	1
57	283	1
57	284	1
57	285	0.54
58	286	1
58	287	1
58	288	0.85
58	289	0.46
58	290	1
59	291	1
59	292	1
59	293	0.38
59	294	0.58
59	295	1
60	296	1
60	297	1
60	298	1
60	299	0.92
60	300	0.48
61	301	1
61	302	1
61	303	0.38
61	304	0.61
61	305	1
